Date,A_SB,A_NB,A_Total,B_SB,B_NB,B_Total,H_SB,H_NB,H_Total,A_Day,H_Day,A_WD,H_WD,A_M,H_M,A_DM,H_DM,Year,F_SB,F_NB,F_Total,,
2/17/2019,2925,3906,6831,2556,4312,6869,2081,3774,5855,7,7,1,1,2,2,17,18,2019,2925,3906,6831,,
2/18/2019,1996,5981,7977,1899,5059,6958,1546,4427,5973,1,1,0,0,2,2,18,19,2019,1996,5981,7977,,
2/19/2019,1934,4230,6164,1903,4068,5971,1549,3560,5109,2,2,0,0,2,2,19,20,2019,1934,4230,6164,,
2/20/2019,2168,3045,5213,2018,3038,5057,1643,2659,4302,3,3,0,0,2,2,20,21,2019,2168,3045,5213,,
2/21/2019,3322,3113,6435,2773,3097,5869,2257,2710,4967,4,4,0,0,2,2,21,22,2019,3322,3113,6435,,
2/22/2019,3389,3351,6740,2489,2906,5395,2026,2543,4569,5,5,1,1,2,2,22,23,2019,3389,3351,6740,,
2/23/2019,2522,3973,6495,2026,3610,5635,1649,3159,4808,6,6,1,1,2,2,23,24,2019,2522,3973,6495,,
2/24/2019,2741,4616,7357,2715,4416,7131,2210,3865,6075,7,7,1,1,2,2,24,25,2019,2741,4616,7357,,
2/25/2019,2188,3568,5756,1760,2972,4732,1433,2601,4034,1,1,0,0,2,2,25,26,2019,2188,3568,5756,,
2/26/2019,2267,3016,5283,1499,3018,4516,1220,2641,3861,2,2,0,0,2,2,26,27,2019,2267,3016,5283,,
2/27/2019,2560,2687,5247,2673,2913,5586,2176,2549,4725,3,3,0,0,2,2,27,28,2019,2560,2687,5247,,
2/28/2019,3787,3067,6854,2373,3387,5760,2335,2267,4602,4,4,0,0,2,3,28,1,2019,3787,3067,6854,,
3/1/2019,3846,3027,6873,3070,2674,5745,2281,2218,4499,5,5,1,1,3,3,1,2,2019,3846,3027,6873,,
3/2/2019,3194,3380,6574,2582,3008,5590,1918,2495,4413,6,6,1,1,3,3,2,3,2019,3194,3380,6574,,
3/3/2019,2936,3940,6876,2432,3854,6286,1807,3196,5003,7,7,1,1,3,3,3,4,2019,2936,3940,6876,,
3/4/2019,2051,3503,5554,1981,3048,5030,1472,2528,4000,1,1,0,0,3,3,4,5,2019,2051,3503,5554,,
3/5/2019,2167,3374,5541,1848,2720,4568,1373,2256,3629,2,2,0,0,3,3,5,6,2019,2167,3374,5541,,
3/6/2019,2283,3064,5347,2135,2688,4823,1586,2229,3815,3,3,0,0,3,3,6,7,2019,2283,3064,5347,,
3/7/2019,3092,3345,6437,3127,2630,5757,2323,2181,4504,4,4,0,0,3,3,7,8,2019,3092,3345,6437,,
3/8/2019,3453,3411,6864,3271,2627,5898,2430,2179,4609,5,5,1,1,3,3,8,9,2019,3453,3411,6864,,
3/9/2019,2741,3964,6705,2910,3494,6405,2162,2898,5060,6,6,1,1,3,3,9,10,2019,2741,3964,6705,,
3/10/2019,2702,4021,6723,3371,3661,7031,2504,3036,5540,7,7,1,1,3,3,10,11,2019,2702,4021,6723,,
3/11/2019,2344,4093,6437,2446,3077,5523,1817,2552,4369,1,1,0,0,3,3,11,12,2019,2344,4093,6437,,
3/12/2019,2280,3340,5620,2451,2549,5000,1821,2114,3935,2,2,0,0,3,3,12,13,2019,2280,3340,5620,,
3/13/2019,2675,2828,5503,2945,2638,5583,2188,2188,4376,3,3,0,0,3,3,13,14,2019,2675,2828,5503,,
3/14/2019,3523,3795,7318,3727,3037,6765,2769,2519,5288,4,4,0,0,3,3,14,15,2019,3523,3795,7318,,
