Date,A_SB,A_NB,A_Total,B_SB,B_NB,B_Total,H_SB,H_NB,H_Total,A_Day,H_Day,A_WD,H_WD,A_M,H_M,A_DM,H_DM,Year,F_SB,F_NB,F_Total,,
7/28/2019,4299,6013,10312,4346,5802,10147,3373,4809,8182,7,7,1,1,7,7,28,29,2019,4299,6013,10312,,
7/29/2019,3894,5600,9494,3701,5327,9028,2873,4415,7288,1,1,0,0,7,7,29,30,2019,3894,5600,9494,,
7/30/2019,4089,5753,9842,3741,5018,8759,2904,4159,7063,2,2,0,0,7,7,30,31,2019,4089,5753,9842,,
7/31/2019,4118,4572,8690,3802,4669,8471,2951,3870,6821,3,3,0,0,7,8,31,1,2019,4118,4572,8690,,
8/1/2019,4444,4324,8768,4126,4738,8864,3289,4138,7427,4,4,0,0,8,8,1,2,2019,4444,4324,8768,,
8/2/2019,4214,5251,9465,4485,4730,9215,3444,4131,7575,5,5,1,1,8,8,2,3,2019,4214,5251,9465,,
8/3/2019,4202,5191,9393,3806,4492,8298,3034,3923,6957,6,6,1,1,8,8,3,4,2019,4202,5191,9393,,
8/4/2019,3835,5997,9832,3931,5728,9659,3134,4584,7718,7,7,1,1,8,8,4,5,2019,3835,5997,9832,,
8/5/2019,3155,4968,8123,2688,5529,8217,2143,4410,6553,1,1,0,0,8,8,5,6,2019,3155,4968,8123,,
8/6/2019,3454,5309,8763,2861,4488,7350,2281,3920,6201,2,2,0,0,8,8,6,7,2019,3454,5309,8763,,
8/7/2019,3315,4539,7854,2737,4175,6912,2182,3646,5828,3,3,0,0,8,8,7,8,2019,3315,4539,7854,,
8/8/2019,4121,4815,8936,3315,4251,7567,2643,3713,6356,4,4,0,0,8,8,8,9,2019,4121,4815,8936,,
8/9/2019,3789,4812,8601,3339,4215,7554,2662,3681,6343,5,5,1,1,8,8,9,10,2019,3789,4812,8601,,
8/10/2019,3703,5153,8856,3268,4490,7757,2605,3921,6526,6,6,1,1,8,8,10,11,2019,3703,5153,8856,,
8/11/2019,3348,5934,9282,3150,5582,8732,2511,4457,6968,7,7,1,1,8,8,11,12,2019,3348,5934,9282,,
8/12/2019,2657,5085,7742,2787,4185,6972,2222,3655,5877,1,1,0,0,8,8,12,13,2019,2657,5085,7742,,
8/13/2019,2912,4966,7878,2942,3753,6695,2345,3278,5623,2,2,0,0,8,8,13,14,2019,2912,4966,7878,,
8/14/2019,2860,4199,7059,2817,3284,6101,2246,2868,5114,3,3,0,0,8,8,14,15,2019,2860,4199,7059,,
8/15/2019,3491,3877,7368,3299,3540,6839,2630,3092,5722,4,4,0,0,8,8,15,16,2019,3491,3877,7368,,
8/16/2019,3158,4171,7329,3312,3328,6640,2640,2907,5547,5,5,1,1,8,8,16,17,2019,3158,4171,7329,,
8/17/2019,3152,4600,7752,3175,3840,7015,2531,3354,5885,6,6,1,1,8,8,17,18,2019,3152,4600,7752,,
8/18/2019,2913,5158,8071,3160,4588,7748,2519,4007,6526,7,7,1,1,8,8,18,19,2019,2913,5158,8071,,
8/19/2019,2523,4334,6857,2156,3530,5686,1719,3083,4802,1,1,0,0,8,8,19,20,2019,2523,4334,6857,,
8/20/2019,2569,3990,6559,2212,3175,5387,1763,2773,4536,2,2,0,0,8,8,20,21,2019,2569,3990,6559,,
8/21/2019,2556,3762,6318,2227,2880,5106,1775,2515,4290,3,3,0,0,8,8,21,22,2019,2556,3762,6318,,
8/22/2019,3295,3670,6965,2955,3141,6096,2356,2743,5099,4,4,0,0,8,8,22,23,2019,3295,3670,6965,,
8/23/2019,3002,3724,6726,2760,2977,5737,2200,2600,4800,5,5,1,1,8,8,23,24,2019,3002,3724,6726,,
8/24/2019,3230,3923,7153,2447,3570,6017,1951,3118,5069,6,6,1,1,8,8,24,25,2019,3230,3923,7153,,
8/25/2019,3137,4374,7511,2530,4050,6580,2017,3537,5554,7,7,1,1,8,8,25,26,2019,3137,4374,7511,,
8/26/2019,2589,3628,6217,2066,3154,5221,1647,2755,4402,1,1,0,0,8,8,26,27,2019,2589,3628,6217,,
8/27/2019,2540,3135,5675,2010,2762,4771,1602,2412,4014,2,2,0,0,8,8,27,28,2019,2540,3135,5675,,
8/28/2019,3075,2987,6062,2725,2730,5454,2172,2384,4556,3,3,0,0,8,8,28,29,2019,3075,2987,6062,,
8/29/2019,4782,2991,7773,4362,2720,7082,3346,2376,5722,4,4,0,0,8,8,29,30,2019,4782,2991,7773,,
8/30/2019,5172,2898,8070,4978,2795,7773,3968,2441,6409,5,5,1,1,8,8,30,31,2019,5172,2898,8070,,
8/31/2019,3882,3417,7299,3373,2993,6366,2689,2614,5303,6,6,1,1,8,9,31,1,2019,3882,3417,7299,,
9/1/2019,2857,3931,6788,2707,3417,6124,2162,2930,5092,7,7,1,1,9,9,1,2,2019,2857,3931,6788,,
9/2/2019,2238,6739,8977,1911,5850,7761,1526,5017,6543,1,1,0,0,9,9,2,3,2019,2238,6739,8977,,
9/3/2019,2044,5462,7506,2144,4493,6637,1546,3853,5399,2,2,0,0,9,9,3,4,2019,2044,5462,7506,,
9/4/2019,2070,3298,5368,2159,3227,5385,1724,2767,4491,3,3,0,0,9,9,4,5,2019,2070,3298,5368,,
9/5/2019,2797,3031,5828,2509,2684,5194,2004,2302,4306,4,4,0,0,9,9,5,6,2019,2797,3031,5828,,
9/6/2019,3147,3191,6338,2981,2703,5684,2381,2318,4699,5,5,1,1,9,9,6,7,2019,3147,3191,6338,,
9/7/2019,2770,3615,6385,2866,3086,5952,2289,2646,4935,6,6,1,1,9,9,7,8,2019,2770,3615,6385,,
9/8/2019,2789,3838,6627,2649,3161,5811,2116,2711,4827,7,7,1,1,9,9,8,9,2019,2789,3838,6627,,
9/9/2019,2376,3403,5779,2152,2826,4978,1719,2423,4142,1,1,0,0,9,9,9,10,2019,2376,3403,5779,,
9/10/2019,2319,3148,5467,2324,2625,4949,1856,2251,4107,2,2,0,0,9,9,10,11,2019,2319,3148,5467,,
9/11/2019,2766,3298,6064,2603,2723,5326,2079,2335,4414,3,3,0,0,9,9,11,12,2019,2766,3298,6064,,
9/12/2019,3054,3977,7031,3363,3329,6692,2686,2855,5541,4,4,0,0,9,9,12,13,2019,3054,3977,7031,,
9/13/2019,2501,4045,6546,3202,3251,6453,2557,2788,5345,5,5,1,1,9,9,13,14,2019,2501,4045,6546,,
9/14/2019,2686,4042,6728,2659,2722,5381,2124,2334,4458,6,6,1,1,9,9,14,15,2019,2686,4042,6728,,
9/15/2019,3090,3714,6804,3508,3363,6871,2469,2884,5353,7,7,1,1,9,9,15,16,2019,3090,3714,6804,,
9/16/2019,3547,2296,5843,2700,3192,5891,2156,2737,4893,1,1,0,0,9,9,16,17,2019,3547,2296,5843,,
9/17/2019,3359,2596,5955,2599,3329,5929,2076,2855,4931,2,2,0,0,9,9,17,18,2019,3359,2596,5955,,
9/18/2019,2990,3012,6002,2477,2977,5454,1978,2553,4531,3,3,0,0,9,9,18,19,2019,2990,3012,6002,,
9/19/2019,3759,3248,7007,3080,3185,6265,2460,2731,5191,4,4,0,0,9,9,19,20,2019,3759,3248,7007,,
9/20/2019,3801,3231,7032,3366,3290,6655,2688,2821,5509,5,5,1,1,9,9,20,21,2019,3801,3231,7032,,
9/21/2019,3485,3696,7181,3189,3152,6341,2547,2883,5430,6,6,1,1,9,9,21,22,2019,3485,3696,7181,,
9/22/2019,3460,4209,7669,3173,3809,6981,2534,3266,5800,7,7,1,1,9,9,22,23,2019,3460,4209,7669,,
9/23/2019,2619,4262,6881,2536,3276,5811,2025,2809,4834,1,1,0,0,9,9,23,24,2019,2619,4262,6881,,
9/24/2019,2722,3018,5740,2623,2753,5376,2095,2361,4456,2,2,0,0,9,9,24,25,2019,2722,3018,5740,,
9/25/2019,3072,2874,5946,3152,2654,5806,2517,2276,4793,3,3,0,0,9,9,25,26,2019,3072,2874,5946,,
9/26/2019,4290,3346,7636,3629,3063,6692,2898,2627,5525,4,4,0,0,9,9,26,27,2019,4290,3346,7636,,
9/27/2019,4166,3331,7497,3467,3186,6653,2769,2732,5501,5,5,1,1,9,9,27,28,2019,4166,3331,7497,,
9/28/2019,3623,3602,7225,3263,3147,6410,2606,2880,5486,6,6,1,1,9,9,28,29,2019,3623,3602,7225,,
9/29/2019,3346,4457,7803,3398,4122,7520,2714,3716,6430,7,7,1,1,9,9,29,30,2019,3346,4457,7803,,
9/30/2019,2858,4302,7160,2742,3681,6424,2190,3157,5347,1,1,0,0,9,10,30,1,2019,2858,4302,7160,,
10/1/2019,2754,3927,6681,2365,3323,5688,1873,2740,4613,2,2,0,0,10,10,1,2,2019,2754,3927,6681,,
10/2/2019,2738,3100,5838,2728,2986,5714,2256,2430,4686,3,3,0,0,10,10,2,3,2019,2738,3100,5838,,
10/3/2019,3552,3424,6976,3208,2709,5917,2653,2281,4934,4,4,0,0,10,10,3,4,2019,3552,3424,6976,,
10/4/2019,3465,3070,6535,3468,3150,6618,2868,2652,5520,5,5,1,1,10,10,4,5,2019,3465,3070,6535,,
10/5/2019,3184,3922,7106,2736,3488,6224,2262,2937,5199,6,6,1,1,10,10,5,6,2019,3184,3922,7106,,
10/6/2019,3165,4798,7963,2442,4310,6752,2019,3629,5648,7,7,1,1,10,10,6,7,2019,3165,4798,7963,,
10/7/2019,2273,4012,6285,2020,3843,5863,1670,3236,4906,1,1,0,0,10,10,7,8,2019,2273,4012,6285,,
10/8/2019,2578,3716,6294,2089,3289,5377,1727,2769,4496,2,2,0,0,10,10,8,9,2019,2578,3716,6294,,
10/9/2019,3000,2969,5969,2523,3230,5753,2086,2720,4806,3,3,0,0,10,10,9,10,2019,3000,2969,5969,,
10/10/2019,4045,3306,7351,3333,3291,6624,2756,2687,5443,4,4,0,0,10,10,10,11,2019,4045,3306,7351,,
10/11/2019,3887,3216,7103,3181,2951,6132,2630,2485,5115,5,5,1,1,10,10,11,12,2019,3887,3216,7103,,
10/12/2019,3370,4123,7493,2520,3272,5792,2084,2755,4839,6,6,1,1,10,10,12,13,2019,3370,4123,7493,,
10/13/2019,3026,4763,7789,2670,4184,6854,2208,3523,5731,7,7,1,1,10,10,13,14,2019,3026,4763,7789,,
10/14/2019,2546,4537,7083,2405,3550,5955,1989,2989,4978,1,1,0,0,10,10,14,15,2019,2546,4537,7083,,
10/15/2019,2600,3769,6369,2465,2993,5458,2038,2520,4558,2,2,0,0,10,10,15,16,2019,2600,3769,6369,,
10/16/2019,2862,3405,6267,2551,2771,5321,2109,2333,4442,3,3,0,0,10,10,16,17,2019,2862,3405,6267,,
10/17/2019,4218,3461,7679,3620,2884,6503,2993,2428,5421,4,4,0,0,10,10,17,18,2019,4218,3461,7679,,
10/18/2019,3664,3094,6758,3647,2901,6549,3016,2443,5459,5,5,1,1,10,10,18,19,2019,3664,3094,6758,,
10/19/2019,3399,3957,7356,3069,3273,6342,2538,2756,5294,6,6,1,1,10,10,19,20,2019,3399,3957,7356,,
10/20/2019,3530,4181,7711,2915,4207,7121,2410,3542,5952,7,7,1,1,10,10,20,21,2019,3530,4181,7711,,
10/21/2019,2620,4269,6889,2324,3507,5831,1922,2953,4875,1,1,0,0,10,10,21,22,2019,2620,4269,6889,,
10/22/2019,2899,3589,6488,2272,2910,5182,1879,2450,4329,2,2,0,0,10,10,22,23,2019,2899,3589,6488,,
10/23/2019,3072,2849,5921,2667,3328,5994,2205,2802,5007,3,3,0,0,10,10,23,24,2019,3072,2849,5921,,
10/24/2019,4276,3158,7434,3756,3648,7405,3106,3072,6178,4,4,0,0,10,10,24,25,2019,4276,3158,7434,,
10/25/2019,3985,3338,7323,3832,3426,7259,3169,2885,6054,5,5,1,1,10,10,25,26,2019,3985,3338,7323,,
10/26/2019,3520,4189,7709,3186,4469,7655,2927,3763,6690,6,6,1,1,10,10,26,27,2019,3520,4189,7709,,
10/27/2019,3140,4171,7311,3397,4265,7662,3101,3591,6692,7,7,1,1,10,10,27,28,2019,3140,4171,7311,,
10/28/2019,3013,4316,7329,3199,3571,6770,2645,3007,5652,1,1,0,0,10,10,28,29,2019,3013,4316,7329,,
10/29/2019,3062,3892,6954,3333,3815,7148,2756,3381,6137,2,2,0,0,10,10,29,30,2019,3062,3892,6954,,
10/30/2019,3902,3556,7458,2965,4353,7318,2744,3665,6409,3,3,0,0,10,10,30,31,2019,3902,3556,7458,,
10/31/2019,4247,3281,7528,3609,3680,7289,3359,3099,6458,4,4,0,0,10,11,31,1,2019,4247,3281,7528,,
11/1/2019,4344,2938,7282,3336,3028,6363,3008,2730,5738,5,5,1,1,11,11,1,2,2019,4344,2938,7282,,
11/2/2019,3880,3552,7432,3508,3276,6784,3163,2954,6117,6,6,1,1,11,11,2,3,2019,3880,3552,7432,,
11/3/2019,3522,5190,8712,3908,3840,7749,3524,3463,6987,7,7,1,1,11,11,3,4,2019,3522,5190,8712,,
11/4/2019,2962,5045,8007,2918,4033,6951,2631,3637,6268,1,1,0,0,11,11,4,5,2019,2962,5045,8007,,
11/5/2019,2766,4245,7011,2572,3936,6508,2319,3549,5868,2,2,0,0,11,11,5,6,2019,2766,4245,7011,,
11/6/2019,2753,3404,6157,2617,3188,5806,2360,2875,5235,3,3,0,0,11,11,6,7,2019,2753,3404,6157,,
11/7/2019,4809,3195,8004,3724,2940,6664,3358,2651,6009,4,4,0,0,11,11,7,8,2019,4809,3195,8004,,
11/8/2019,4408,3338,7746,3779,3008,6787,3408,2712,6120,5,5,1,1,11,11,8,9,2019,4408,3338,7746,,
11/9/2019,3870,4625,8495,2893,3461,6355,2609,3121,5730,6,6,1,1,11,11,9,10,2019,3870,4625,8495,,
11/10/2019,3167,4476,7643,2658,5310,7969,2397,3567,5964,7,7,1,1,11,11,10,11,2019,3167,4476,7643,,
11/11/2019,2639,5534,8173,2365,4413,6778,2133,3979,6112,1,1,0,0,11,11,11,12,2019,2639,5534,8173,,
11/12/2019,2417,3265,5682,2628,3484,6113,2370,3142,5512,2,2,0,0,11,11,12,13,2019,2417,3265,5682,,
11/13/2019,2535,4086,6621,3238,3418,6656,2920,3082,6002,3,3,0,0,11,11,13,14,2019,2535,4086,6621,,
11/14/2019,3256,5073,8329,4184,3605,7790,3773,3251,7024,4,4,0,0,11,11,14,15,2019,3256,5073,8329,,
11/15/2019,3125,5412,8537,4906,4817,9724,4424,4344,8768,5,5,1,1,11,11,15,16,2019,3125,5412,8537,,
11/16/2019,3117,4869,7986,5620,5137,10757,5068,4632,9700,6,6,1,1,11,11,16,17,2019,3117,4869,7986,,
11/17/2019,3608,4804,8412,4944,4483,9427,4458,4042,8500,7,7,1,1,11,11,17,18,2019,3608,4804,8412,,
11/18/2019,4923,3101,8024,5402,3498,8900,4871,3154,8025,1,1,0,0,11,11,18,19,2019,4923,3101,8024,,
11/19/2019,4266,3347,7613,3202,5464,8666,4476,3756,8232,2,2,0,0,11,11,19,20,2019,4266,3347,7613,,
11/20/2019,3679,3153,6832,2940,4326,7266,5061,4772,9833,3,3,0,0,11,11,20,21,2019,3679,3153,6832,,
11/21/2019,5573,3299,8872,3670,3431,7101,3890,5341,9231,4,4,0,0,11,11,21,22,2019,5573,3299,8872,,
11/22/2019,6310,3588,9898,4144,3567,7711,3313,5247,8560,5,5,1,1,11,11,22,23,2019,6310,3588,9898,,
11/23/2019,6935,4498,11433,3725,3437,7162,3337,6578,9915,6,6,1,1,11,11,23,24,2019,6935,4498,11433,,
11/24/2019,4782,4258,9040,4823,5709,10532,4349,7591,11940,7,7,1,1,11,11,24,25,2019,4782,4258,9040,,
11/25/2019,4214,4183,8397,3839,7029,10868,3462,6338,9800,1,1,0,0,11,11,25,26,2019,4214,4183,8397,,
11/26/2019,4377,4699,9076,4964,4165,9129,2887,4927,7814,2,2,0,0,11,11,26,27,2019,4377,4699,9076,,
11/27/2019,5270,5326,10596,5613,5969,11582,2651,3901,6552,3,3,0,0,11,11,27,28,2019,5270,5326,10596,,
11/28/2019,4926,5387,10313,4314,6600,10914,3309,3094,6403,4,4,0,0,11,11,28,29,2019,4926,5387,10313,,
11/29/2019,3918,5571,9489,3674,5819,9493,3737,3216,6953,5,5,1,1,11,11,29,30,2019,3918,5571,9489,,
11/30/2019,4202,7565,11767,3701,7295,10996,3659,3961,7620,6,6,1,1,11,12,30,1,2019,4202,7565,11767,,
12/1/2019,4930,8050,12980,4823,8018,12841,3685,3942,7627,7,7,1,1,12,12,1,2,2019,4930,8050,12980,,
12/2/2019,4252,7328,11580,3746,7029,10775,2986,3495,6481,1,1,0,0,12,12,2,3,2019,4252,7328,11580,,
12/3/2019,3568,5163,8731,3306,2587,5893,2993,2551,5544,2,2,0,0,12,12,3,4,2019,3568,5163,8731,,
12/4/2019,3663,3864,7527,3585,2401,5986,3228,2383,5611,3,3,0,0,12,12,4,5,2019,3663,3864,7527,,
12/5/2019,4559,3222,7781,4160,2371,6531,3847,2446,6293,4,4,0,0,12,12,5,6,2019,4559,3222,7781,,
12/6/2019,4564,3329,7893,4523,2739,7262,4174,2778,6952,5,5,1,1,12,12,6,7,2019,4564,3329,7893,,
12/7/2019,4263,3811,8074,4332,3187,7519,4002,3182,7184,6,6,1,1,12,12,7,8,2019,4263,3811,8074,,
12/8/2019,4447,4185,8632,4049,3883,7932,3744,3809,7553,7,7,1,1,12,12,8,9,2019,4447,4185,8632,,
12/9/2019,3864,3928,7792,3504,3446,6949,3255,3415,6670,1,1,0,0,12,12,9,10,2019,3864,3928,7792,,
12/10/2019,3773,3164,6937,3731,2711,6443,3460,2753,6213,2,2,0,0,12,12,10,11,2019,3773,3164,6937,,
12/11/2019,3778,2807,6585,3823,2265,6088,3443,2260,5703,3,3,0,0,12,12,11,12,2019,3778,2807,6585,,
12/12/2019,4431,2902,7333,4655,2972,7627,4293,2988,7281,4,4,0,0,12,12,12,13,2019,4431,2902,7333,,
12/13/2019,5131,2938,8069,5670,4060,9730,5208,3969,9177,5,5,1,1,12,12,13,14,2019,5131,2938,8069,,
12/14/2019,4979,4815,9794,5644,5183,10827,5185,4936,10121,6,6,1,1,12,12,14,15,2019,4979,4815,9794,,
12/15/2019,4801,5223,10024,5215,5292,10507,4798,5080,9878,7,7,1,1,12,12,15,16,2019,4801,5223,10024,,
12/16/2019,4695,4586,9281,4794,4998,9792,4418,4815,9233,1,1,0,0,12,12,16,17,2019,4695,4586,9281,,
12/17/2019,4715,3958,8673,5677,4754,10432,5115,4595,9710,2,2,0,0,12,12,17,18,2019,4715,3958,8673,,
12/18/2019,5649,4494,10143,5559,5099,10658,5108,4906,10014,3,3,0,0,12,12,18,19,2019,5649,4494,10143,,
12/19/2019,6421,5063,11484,6708,4113,10821,6144,3972,10116,4,4,0,0,12,12,19,20,2019,6421,5063,11484,,
12/20/2019,7372,5727,13099,8188,5645,13833,7479,5398,12877,5,5,1,1,12,12,20,21,2019,7372,5727,13099,,
12/21/2019,7864,7098,14962,7829,7024,14853,7155,6642,13797,6,6,1,1,12,12,21,22,2019,7864,7098,14962,,
12/22/2019,6538,6595,13133,7099,7824,14923,6497,7363,13860,7,7,1,1,12,12,22,23,2019,6538,6595,13133,,
12/23/2019,5918,5993,11911,5224,4934,10158,4806,4757,9563,1,1,0,0,12,12,23,24,2019,5918,5993,11911,,
12/24/2019,4892,5058,9950,6404,6322,12726,5870,6009,11879,2,2,0,0,12,12,24,25,2019,4892,5058,9950,,
12/25/2019,6219,6193,12412,6446,7214,13660,5908,6813,12721,3,3,0,0,12,12,25,26,2019,6219,6193,12412,,
12/26/2019,7339,7396,14735,6479,6875,13354,5938,6507,12445,4,4,0,0,12,12,26,27,2019,7339,7396,14735,,
12/27/2019,6977,8161,15138,6340,6937,13276,5812,6563,12375,5,5,1,1,12,12,27,28,2019,6977,8161,15138,,
12/28/2019,6474,8650,15124,5878,7177,13056,5396,6780,12176,6,6,1,1,12,12,28,29,2019,6474,8650,15124,,
12/29/2019,5918,7680,13598,5498,6810,12308,5053,6449,11502,7,7,1,1,12,12,29,30,2019,5918,7680,13598,,
12/30/2019,5567,7809,13376,4043,7205,11248,3641,6805,10446,1,1,0,0,12,12,30,31,2019,5567,7809,13376,,
12/31/2019,4597,7084,11681,5314,6759,12072,4791,6094,10885,2,2,0,0,12,1,31,1,2019,4597,7084,11681,,
1/1/2020,5367,6555,11922,7196,7064,14260,5678,6445,12123,3,3,0,0,1,1,1,2,2020,5367,6555,11922,,
1/2/2020,6555,6979,13534,7551,7116,14667,5962,6492,12454,4,4,0,0,1,1,2,3,2020,6555,6979,13534,,
1/3/2020,6969,8166,15135,7754,9157,16911,6124,8369,14493,5,5,1,1,1,1,3,4,2020,6969,8166,15135,,
1/4/2020,7427,9666,17093,7849,9479,17328,6200,8665,14865,6,6,1,1,1,1,4,5,2020,7427,9666,17093,,
1/5/2020,6272,8250,14522,6301,9532,15832,4963,8714,13677,7,7,1,1,1,1,5,6,2020,6272,8250,14522,,
1/6/2020,5131,8757,13888,4976,8751,13727,3905,7996,11901,1,1,0,0,1,1,6,7,2020,5131,8757,13888,,
1/7/2020,4557,6872,11429,3980,7311,11292,3110,6672,9782,2,2,0,0,1,1,7,8,2020,4557,6872,11429,,
1/8/2020,3665,5851,9516,3387,5843,9230,2636,5322,7958,3,3,0,0,1,1,8,9,2020,3665,5851,9516,,
1/9/2020,4216,4805,9021,4064,5257,9321,3177,4783,7960,4,4,0,0,1,1,9,10,2020,4216,4805,9021,,
1/10/2020,4080,5747,9827,4078,5526,9604,3188,5030,8218,5,5,1,1,1,1,10,11,2020,4080,5747,9827,,
1/11/2020,3563,6677,10240,3751,6326,10077,2927,5766,8693,6,6,1,1,1,1,11,12,2020,3563,6677,10240,,
1/12/2020,3413,6697,10110,3810,6286,10096,2974,5729,8703,7,7,1,1,1,1,12,13,2020,3413,6697,10110,,
1/13/2020,2366,5986,8352,2504,4855,7359,1931,4413,6344,1,1,0,0,1,1,13,14,2020,2366,5986,8352,,
1/14/2020,2508,5168,7676,2661,4632,7292,2056,4208,6264,2,2,0,0,1,1,14,15,2020,2508,5168,7676,,
1/15/2020,3035,4693,7728,2815,3925,6740,2179,3558,5737,3,3,0,0,1,1,15,16,2020,3035,4693,7728,,
1/16/2020,4615,4032,8647,4245,4010,8254,3321,3636,6957,4,4,0,0,1,1,16,17,2020,4615,4032,8647,,
1/17/2020,4897,4672,9569,4917,3989,8906,3858,3617,7475,5,5,1,1,1,1,17,18,2020,4897,4672,9569,,
1/18/2020,3789,4954,8743,3814,4724,8538,2977,4293,7270,6,6,1,1,1,1,18,19,2020,3789,4954,8743,,
1/19/2020,3259,5408,8667,3140,5051,8191,2439,4593,7032,7,7,1,1,1,1,19,20,2020,3259,5408,8667,,
1/20/2020,2369,6168,8537,2279,5285,7564,1751,4809,6560,1,1,0,0,1,1,20,21,2020,2369,6168,8537,,
1/21/2020,2447,5053,7500,2395,4387,6782,1844,3983,5827,2,2,0,0,1,1,21,22,2020,2447,5053,7500,,
1/22/2020,2813,3873,6686,2683,3589,6272,2074,3249,5323,3,3,0,0,1,1,22,23,2020,2813,3873,6686,,
1/23/2020,3841,3888,7729,3791,3746,7537,2959,3393,6352,4,4,0,0,1,1,23,24,2020,3841,3888,7729,,
1/24/2020,3730,3093,6823,4198,3550,7748,3284,3213,6497,5,5,1,1,1,1,24,25,2020,3730,3093,6823,,
1/25/2020,3430,3681,7111,3181,4286,7468,2472,3890,6362,6,6,1,1,1,1,25,26,2020,3430,3681,7111,,
1/26/2020,3280,4848,8128,3158,4670,7828,2453,4243,6696,7,7,1,1,1,1,26,27,2020,3280,4848,8128,,
1/27/2020,2381,5216,7597,2341,4357,6698,1801,3955,5756,1,1,0,0,1,1,27,28,2020,2381,5216,7597,,
1/28/2020,2495,4047,6542,2291,3444,5736,1761,3116,4877,2,2,0,0,1,1,28,29,2020,2495,4047,6542,,
1/29/2020,2852,3931,6783,2935,3380,6315,2275,3057,5332,3,3,0,0,1,1,29,30,2020,2852,3931,6783,,
1/30/2020,3881,5290,9171,3934,4431,8365,3073,4023,7096,4,4,0,0,1,1,30,31,2020,3881,5290,9171,,
1/31/2020,3526,5455,8981,3413,4948,8361,2657,4499,7156,5,5,1,1,1,2,31,1,2020,3526,5455,8981,,
2/1/2020,2886,5014,7900,2744,4832,7576,2273,3873,6146,6,6,1,1,2,2,1,2,2020,2886,5014,7900,,
2/2/2020,2769,4907,7676,2599,5185,7785,2161,4151,6312,7,7,1,1,2,2,2,3,2020,2769,4907,7676,,
2/3/2020,4600,3767,8367,4525,3917,8442,3650,3152,6802,1,1,0,0,2,2,3,4,2020,4600,3767,8367,,
2/4/2020,3740,3593,7333,3622,3412,7034,2952,2754,5706,2,2,0,0,2,2,4,5,2020,3740,3593,7333,,
2/5/2020,3075,3264,6339,2765,3429,6193,2289,2767,5056,3,3,0,0,2,2,5,6,2020,3075,3264,6339,,
2/6/2020,4017,3420,7437,3400,3086,6486,2780,2497,5277,4,4,0,0,2,2,6,7,2020,4017,3420,7437,,
2/7/2020,3959,3694,7653,3662,3700,7363,2983,2981,5964,5,5,1,1,2,2,7,8,2020,3959,3694,7653,,
2/8/2020,3683,4555,8238,3151,4090,7241,2588,3288,5876,6,6,1,1,2,2,8,9,2020,3683,4555,8238,,
2/9/2020,3488,4765,8253,3151,4342,7494,2588,3487,6075,7,7,1,1,2,2,9,10,2020,3488,4765,8253,,
2/10/2020,2420,4362,6782,2070,4299,6370,1752,3453,5205,1,1,0,0,2,2,10,11,2020,2420,4362,6782,,
2/11/2020,2686,3371,6057,2394,3387,5780,2002,2734,4736,2,2,0,0,2,2,11,12,2020,2686,3371,6057,,
2/12/2020,3721,3152,6873,3237,2804,6041,2654,2275,4929,3,3,0,0,2,2,12,13,2020,3721,3152,6873,,
2/13/2020,5782,3364,9146,5328,3000,8328,4271,2429,6700,4,4,0,0,2,2,13,14,2020,5782,3364,9146,,
2/14/2020,5958,3234,9192,5602,3750,9352,4483,3020,7503,5,5,1,1,2,2,14,15,2020,5958,3234,9192,,
2/15/2020,5344,4589,9933,4010,4228,8238,3252,3397,6649,6,6,1,1,2,2,15,16,2020,5344,4589,9933,,
2/16/2020,3946,4590,8536,3587,4874,8462,2925,3906,6831,7,7,1,1,2,2,16,17,2020,3946,4590,8536,,
2/17/2020,2937,5427,8364,2386,7508,9894,1996,5981,7977,1,1,0,0,2,2,17,18,2020,2937,5427,8364,,
2/18/2020,2856,6234,9090,2306,5286,7591,1934,4230,6164,2,2,0,0,2,2,18,19,2020,2856,6234,9090,,
2/19/2020,3630,4232,7862,2608,3781,6390,2168,3045,5213,3,3,0,0,2,2,19,20,2020,3630,4232,7862,,
2/20/2020,4850,3744,8594,4101,3868,7968,3322,3113,6435,4,4,0,0,2,2,20,21,2020,4850,3744,8594,,
2/21/2020,4668,3795,8463,4187,4170,8357,3389,3351,6740,5,5,1,1,2,2,21,22,2020,4668,3795,8463,,
2/22/2020,3748,5530,9278,3066,4959,8025,2522,3973,6495,6,6,1,1,2,2,22,23,2020,3748,5530,9278,,
2/23/2020,3178,5210,8388,3349,5775,9125,2741,4616,7357,7,7,1,1,2,2,23,24,2020,3178,5210,8388,,
2/24/2020,2233,5141,7374,2634,4445,7079,2188,3568,5756,1,1,0,0,2,2,24,25,2020,2233,5141,7374,,
2/25/2020,2501,3840,6341,2736,3745,6481,2267,3016,5283,2,2,0,0,2,2,25,26,2020,2501,3840,6341,,
2/26/2020,2740,4057,6797,3115,3327,6442,2560,2687,5247,3,3,0,0,2,2,26,27,2020,2740,4057,6797,,
2/27/2020,4131,3832,7963,4702,3809,8511,3787,3067,6854,4,4,0,0,2,2,27,28,2020,4131,3832,7963,,
2/28/2020,3917,3820,7737,4778,3759,8537,3846,3027,6873,5,5,1,1,2,3,28,1,2020,3917,3820,7737,,
2/29/2020,3414,4496,7910,3935,4207,8142,3194,3380,6574,6,6,1,1,2,3,29,2,2020,3414,4496,7910,,
